epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,2239.01,1.07746,0.7821,1.48685,0.92244,0.81481,0.91295,0.4973,1.54519,0.78389,1.95539,0.000781323,0.000781323,0.000781323
163,2254.06,1.07365,0.79109,1.48326,0.91566,0.8042,0.91731,0.52657,1.49047,0.78972,1.84871,0.000775822,0.000775822,0.000775822
164,2269.55,1.07148,0.74799,1.48956,0.91718,0.82035,0.91071,0.50555,1.50725,0.78228,1.92766,0.000770321,0.000770321,0.000770321
165,2287.58,1.08654,0.76558,1.5014,0.9115,0.82716,0.91009,0.50852,1.53586,0.79224,1.93058,0.00076482,0.00076482,0.00076482
166,2306.31,1.08915,0.76013,1.4931,0.88309,0.8642,0.91411,0.51794,1.4839,0.77654,1.90892,0.000759318,0.000759318,0.000759318
167,2329.2,1.0825,0.76484,1.48587,0.9857,0.85086,0.9415,0.54602,1.45256,0.72482,1.85613,0.000753817,0.000753817,0.000753817
168,2871.3,1.04662,0.74531,1.4644,0.92076,0.86079,0.91528,0.54261,1.45169,0.73383,1.9488,0.000748316,0.000748316,0.000748316
169,3211.09,1.05261,0.74841,1.46276,0.90957,0.8642,0.93297,0.52508,1.46274,0.73745,1.93226,0.000742815,0.000742815,0.000742815
170,3391.53,1.07236,0.76446,1.49993,0.82802,0.90123,0.9261,0.50045,1.55768,0.79918,1.92973,0.000737314,0.000737314,0.000737314
171,3503.69,1.05156,0.75853,1.46846,0.89133,0.82716,0.89749,0.50247,1.53931,0.77365,1.92942,0.000731813,0.000731813,0.000731813
172,3546.47,1.08056,0.77757,1.49048,0.90572,0.83019,0.90372,0.51616,1.50743,0.77379,1.886,0.000726312,0.000726312,0.000726312
173,3560.99,1.06743,0.74097,1.46545,0.91018,0.87654,0.91983,0.53546,1.5075,0.7139,1.92429,0.000720811,0.000720811,0.000720811
174,3575.52,1.04406,0.74547,1.44126,0.91174,0.89274,0.94525,0.53276,1.51671,0.69506,1.93989,0.00071531,0.00071531,0.00071531
175,3590.48,1.05035,0.76455,1.47664,0.93804,0.82716,0.94081,0.50589,1.50179,0.72212,1.97933,0.000709809,0.000709809,0.000709809
176,3605.22,1.04987,0.73675,1.46039,0.91488,0.79615,0.91188,0.52999,1.50286,0.75167,1.91829,0.000704307,0.000704307,0.000704307
177,3619.97,1.04576,0.74441,1.46744,0.9196,0.83951,0.92041,0.5467,1.47397,0.72667,1.90655,0.000698806,0.000698806,0.000698806
